State,Spending
Alabama,8021292
Alaska,2587060
Arizona,8386627
Arkansas,5460822
California,86828123
Colorado,10418460
Connecticut,10487033
Delaware,2071076
District of Columbia,1562841
Florida,28900189
Georgia,20123166
Hawaii,2778689
Idaho,2260290
Illinois,34249528
Indiana,11608121
Iowa,6800383
Kansas,6519665
Kentucky,7949741
Louisiana,8142662
Maine,2740218
Maryland,14422619
Massachusetts,17376910
Michigan,18088275
Minnesota,13473534
Mississippi,4675220
Missouri,10709243
Montana,1886164
Nebraska,4799659
Nevada,4781032
New Hampshire,3017400
New Jersey,29113576
New Mexico,3778333
New York,70375945
North Carolina,14855814
North Dakota,1846156
Ohio,24225460
Oklahoma,6019507
Oregon,7935416
Pennsylvania,30953734
Rhode Island,2475343
South Carolina,9634412
South Dakota,1558530
Tennessee,10333844
Texas,62985548
Utah,5229713
Vermont,1758510
Virginia,17013933
Washington,16078806
West Virginia,3412733
Wisconsin,11612679
Wyoming,1911464