state,act_participation_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,act_participation_2018,act_composite_2018,sat_participation_2017,sat_verbal_2017,sat_math_2017,sat_total_2017,sat_participation_2018,sat_verbal_2018,sat_math_2018,sat_total_2018
alabama,1.0,18.9,18.4,19.7,19.4,19.2,1.0,19.1,0.05,593,572,1165,0.06,595,571,1166
alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.33,20.8,0.38,547,533,1080,0.43,562,544,1106
arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.66,19.2,0.3,563,553,1116,0.29,577,572,1149
arkansas,1.0,18.9,19.0,19.7,19.5,19.4,1.0,19.4,0.03,614,594,1208,0.05,592,576,1169
california,0.31,22.5,22.7,23.1,22.2,22.8,0.27,22.7,0.53,531,524,1055,0.6,540,536,1076
colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.3,23.9,0.11,606,595,1201,1.0,519,506,1025
connecticut,0.31,25.5,24.6,25.6,24.6,25.2,0.26,25.6,1.0,530,512,1041,1.0,535,519,1053
delaware,0.18,24.1,23.4,24.8,23.6,24.1,0.17,23.8,1.0,503,492,996,1.0,505,492,998
district of columbia,0.32,24.4,23.5,24.9,23.5,24.2,0.32,23.6,1.0,482,468,950,0.92,497,480,977
florida,0.73,19.0,19.4,21.0,19.4,19.8,0.66,19.9,0.83,520,497,1017,0.56,550,549,1099
georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.53,21.4,0.61,535,515,1050,0.7,542,522,1064
hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.89,18.9,0.55,544,541,1085,0.56,480,530,1010
idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.36,22.3,0.93,513,493,1005,1.0,508,493,1001
illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.43,23.9,0.09,559,556,1115,0.99,513,506,1019
indiana,0.35,22.0,22.4,23.2,22.3,22.6,0.32,22.5,0.63,542,532,1074,0.63,542,532,1074
iowa,0.67,21.2,21.3,22.6,22.1,21.9,0.68,21.8,0.02,641,635,1275,0.03,634,631,1265
kansas,0.73,21.1,21.3,22.3,21.7,21.7,0.71,21.6,0.04,632,628,1260,0.04,633,631,1265
kentucky,1.0,19.6,19.4,20.5,20.1,20.0,1.0,20.2,0.04,631,616,1247,0.04,630,618,1248
louisiana,1.0,19.4,18.8,19.8,19.6,19.5,1.0,19.2,0.04,611,586,1198,0.04,615,595,1210
maine,0.08,24.2,24.0,24.8,23.7,24.3,0.07,24.0,0.95,513,499,1012,0.99,512,501,1013
maryland,0.28,23.3,23.1,24.2,2.3,23.6,0.31,22.5,0.69,536,528,1060,0.76,545,535,1080
massachusetts,0.29,25.4,25.3,25.9,24.7,25.4,0.25,25.5,0.76,555,551,1107,0.8,562,563,1125
michigan,0.29,24.1,23.7,24.5,23.8,24.1,0.22,24.2,1.0,509,495,1005,1.0,511,499,1011
minnesota,1.0,20.4,21.5,21.8,21.6,21.5,0.99,21.3,0.03,644,651,1295,0.04,643,655,1298
mississippi,1.0,18.2,18.1,18.8,18.8,18.6,1.0,18.6,0.02,634,607,1242,0.03,630,606,1236
missouri,1.0,19.8,19.9,20.8,20.5,20.4,1.0,20.0,0.03,640,631,1271,0.04,633,629,1262
montana,1.0,19.0,20.2,21.0,20.5,20.3,1.0,20.0,0.1,605,591,1196,0.1,606,592,1198
nebraska,0.84,20.9,20.9,21.9,21.5,21.4,1.0,20.1,0.03,629,625,1253,0.03,629,623,1252
nevada,1.0,16.3,18.0,18.1,18.2,17.8,1.0,17.7,0.26,563,553,1116,0.23,574,566,1140
new hampshire,0.18,25.4,25.1,26.0,24.9,25.5,0.16,25.1,0.96,532,520,1052,0.96,535,528,1063
new jersey,0.34,23.8,23.8,24.1,23.2,23.9,0.31,23.7,0.7,530,526,1056,0.82,547,547,1094
new mexico,0.66,18.6,19.4,20.4,20.0,19.7,0.67,19.4,0.11,577,561,1138,0.16,552,540,1093
new york,0.31,23.8,24.0,24.6,23.9,24.2,0.27,24.5,0.67,528,523,1052,0.79,534,534,1068
north carolina,1.0,17.8,19.3,19.6,19.3,19.1,1.0,19.1,0.49,546,535,1081,0.52,554,543,1098
north dakota,0.98,19.0,20.4,20.5,20.6,20.3,0.98,20.3,0.02,635,621,1256,0.02,640,643,1283
ohio,0.75,21.2,21.6,22.5,22.0,22.0,1.0,20.3,0.12,578,570,1149,0.18,552,547,1099
oklahoma,1.0,18.5,18.8,20.1,19.6,19.4,1.0,19.3,0.07,530,517,1047,0.08,541,521,1062
oregon,0.4,21.2,21.5,22.4,21.7,21.8,0.42,21.3,0.43,560,548,1108,0.48,564,553,1117
pennsylvania,0.23,23.4,23.4,24.2,23.3,23.7,0.2,23.5,0.65,540,531,1071,0.7,547,539,1086
rhode island,0.21,24.0,23.3,24.7,23.4,24.0,0.15,24.2,0.71,539,524,1062,0.97,513,505,1018
south carolina,1.0,17.5,18.6,19.1,18.9,18.7,1.0,18.3,0.5,543,521,1064,0.55,547,523,1070
south dakota,0.8,20.7,21.5,22.3,22.0,21.8,0.77,21.9,0.03,612,603,1216,0.03,622,618,1240
tennessee,1.0,19.5,19.2,20.1,19.9,19.8,1.0,19.6,0.05,623,604,1228,0.06,624,607,1231
texas,0.45,19.5,20.7,21.1,20.9,20.7,0.45,20.7,0.62,513,507,1020,0.66,520,512,1032
utah,1.0,19.5,19.9,20.8,20.6,20.3,1.0,20.4,0.03,624,614,1238,0.04,480,530,1010
vermont,0.29,23.3,23.1,24.4,23.2,23.6,0.24,24.1,0.6,562,551,1114,0.64,565,554,1120
virginia,0.29,23.5,23.3,24.6,23.5,23.8,0.24,23.9,0.65,561,541,1102,0.68,567,550,1117
washington,0.29,20.9,21.9,22.1,22.0,21.9,0.24,22.2,0.64,541,534,1075,0.69,543,538,1081
west virginia,0.69,20.0,19.4,21.2,20.5,20.4,0.65,20.3,0.14,558,528,1086,0.28,513,486,999
wisconsin,1.0,19.7,20.4,20.6,20.9,20.5,1.0,20.5,0.03,642,649,1291,0.03,641,653,1294
wyoming,1.0,19.4,19.8,20.8,20.6,20.2,1.0,20.0,0.03,626,604,1230,0.03,633,625,1257
